epoch,cotBeta_mae_metric,loss,slim_rmse_metric,val_cotBeta_mae_metric,val_loss,val_slim_rmse_metric,val_x_mae_metric,val_y_mae_metric,x_mae_metric,y_mae_metric
0,0.4052029848098755,4065.150390625,0.5150513052940369,0.3522520959377289,2500.375,0.4161072075366974,0.356840580701828,0.32384783029556274,0.4625301957130432,0.42100557684898376
1,0.318775475025177,2078.271240234375,0.37134218215942383,0.28261134028434753,1562.5462646484375,0.32889145612716675,0.24432644248008728,0.26982054114341736,0.29550403356552124,0.29682600498199463
2,0.28414028882980347,2070.282470703125,0.36335158348083496,0.24438916146755219,1505.1688232421875,0.32276517152786255,0.25475090742111206,0.2709411680698395,0.28807827830314636,0.3121604025363922
3,0.2644859552383423,1985.4759521484375,0.36042600870132446,0.22332295775413513,1189.965087890625,0.286920964717865,0.1764592081308365,0.2710627317428589,0.2922157943248749,0.31773942708969116
4,0.2270650565624237,1679.302490234375,0.331463098526001,0.18870386481285095,1043.999267578125,0.2685856521129608,0.17444171011447906,0.25597742199897766,0.26168498396873474,0.3049640655517578
5,0.1984693557024002,1434.7073974609375,0.3012600541114807,0.23486709594726562,2388.645263671875,0.4065619111061096,0.38791733980178833,0.36565858125686646,0.23301315307617188,0.27903270721435547
6,0.22427064180374146,1667.0389404296875,0.3284928798675537,0.21663062274456024,1828.8095703125,0.3556666374206543,0.32401493191719055,0.3201526701450348,0.279705286026001,0.28452783823013306
7,0.18315446376800537,1224.8231201171875,0.2805705666542053,0.14428062736988068,796.7168579101562,0.23477467894554138,0.18940234184265137,0.20114293694496155,0.2223796546459198,0.25483211874961853
8,0.1822667270898819,1298.3919677734375,0.2871510088443756,0.23552194237709045,1809.54931640625,0.3538036644458771,0.3178713023662567,0.30914992094039917,0.23725877702236176,0.259157657623291
9,0.19513840973377228,1406.4744873046875,0.3015603721141815,0.21736285090446472,1670.7012939453125,0.3400719463825226,0.312165766954422,0.29294100403785706,0.2526722848415375,0.2679700553417206
10,0.16530796885490417,1033.202880859375,0.25846803188323975,0.1429237276315689,721.8638305664062,0.2232835590839386,0.16732706129550934,0.19530515372753143,0.2061404287815094,0.22688965499401093
11,0.1609550416469574,948.1300659179688,0.24679188430309296,0.22905199229717255,1925.6171875,0.36522534489631653,0.3044265806674957,0.34075507521629333,0.19775880873203278,0.21288321912288666
12,0.14847451448440552,843.4251708984375,0.23323875665664673,0.13238947093486786,616.8112182617188,0.20633378624916077,0.1600523144006729,0.17269256711006165,0.18989898264408112,0.19634966552257538
13,0.15868821740150452,947.5595092773438,0.24499258399009705,0.1297684907913208,674.0560302734375,0.21567189693450928,0.18450352549552917,0.1729896515607834,0.201704740524292,0.20801778137683868
14,0.15306982398033142,886.6534423828125,0.23771607875823975,0.129121333360672,770.1876220703125,0.23052862286567688,0.20651128888130188,0.18949365615844727,0.1996009796857834,0.19706101715564728
15,0.16171123087406158,954.3084716796875,0.24659579992294312,0.1361687034368515,715.349609375,0.2221333235502243,0.18637290596961975,0.18163485825061798,0.20826639235019684,0.203534334897995
