epoch,loss,val_loss
0,16480.267578125,1475.6519775390625
1,-1023.0325317382812,-3361.77001953125
2,-4421.82666015625,-5437.73046875
3,-6457.3505859375,-7483.0126953125
4,-7586.2421875,-9440.2626953125
5,-9947.875,-10823.24609375
6,-10797.869140625,-10768.9609375
7,-10431.984375,-11362.4248046875
8,-11433.4599609375,-11813.1025390625
9,-11287.248046875,-11410.712890625
10,-11514.92578125,-11628.3427734375
11,-10621.2705078125,-12393.8408203125
12,-12419.5771484375,-12260.013671875
13,-12349.623046875,-12930.439453125
14,-12607.267578125,-12954.35546875
15,-11972.7880859375,-13116.875
16,-12028.064453125,-12957.26171875
17,-10363.8583984375,-13213.474609375
18,-13341.5556640625,-13741.671875
19,-12639.193359375,-13292.177734375
20,-9980.26953125,-11671.841796875
21,-12830.3828125,-12969.095703125
22,-13245.5361328125,-13809.896484375
23,-12534.009765625,-14062.611328125
24,-12818.4736328125,-13065.736328125
25,-13782.5302734375,-13675.8896484375
26,-13804.126953125,-14179.865234375
27,-14081.1962890625,-14332.9375
28,-13921.9169921875,-14966.421875
29,-14050.3583984375,-15201.525390625
30,-13673.458984375,-13661.43359375
31,-14022.7080078125,-14253.0830078125
32,-13051.3486328125,-14467.0244140625
33,-14365.375,-14421.75
34,-14715.2470703125,-14905.091796875
35,-15426.1796875,-16146.80859375
36,-15647.9453125,-15348.4375
37,-15614.685546875,-16117.009765625
38,-15707.8095703125,-16201.30078125
39,-15129.830078125,-13494.2099609375
40,-15838.6767578125,-16371.30078125
41,-15006.080078125,-15335.3466796875
42,-15809.6025390625,-15757.185546875
43,-15377.2109375,-13065.1552734375
44,-15454.521484375,-10280.7470703125
45,-14890.0625,-16330.7119140625
46,-16014.7744140625,-16862.4296875
47,-15670.880859375,-14381.998046875
48,-16012.4296875,-14480.068359375
49,-14349.4658203125,-15805.5068359375
50,-15724.3642578125,-16007.24609375
51,-16539.587890625,-16244.765625
52,-16557.357421875,-16464.330078125
53,-16164.9931640625,-17404.123046875
54,-16838.2265625,-17403.337890625
55,-16868.052734375,-17467.880859375
56,-16528.60546875,-16663.71484375
57,-16729.828125,-16387.30859375
58,-16845.4765625,-17142.673828125
59,-16927.03125,-14498.318359375
60,-16926.2578125,-17306.423828125
61,-17023.095703125,-17123.974609375
62,-17164.453125,-17021.740234375
63,-16774.9375,-16825.033203125
64,-17589.716796875,-14862.3017578125
65,-17444.29296875,-18141.361328125
66,-17469.642578125,-17784.103515625
67,-17519.05859375,-18429.75
68,-17428.283203125,-17861.2109375
69,-17894.810546875,-17926.62890625
70,-17885.068359375,-18257.888671875
71,-17634.734375,-15675.0107421875
72,-16461.625,-17258.6015625
73,-16852.142578125,-17218.2265625
74,-17402.458984375,-17664.212890625
75,-17544.05859375,-17968.83984375
76,-16750.232421875,-16619.828125
77,-17309.056640625,-17689.84765625
78,-17030.111328125,-17315.8828125
79,-17304.123046875,-17229.0234375
80,-17130.599609375,-17125.8984375
81,-17221.2421875,-17873.841796875
82,-17352.541015625,-17856.80859375
83,-17080.5234375,-18044.30859375
84,-17205.314453125,-18359.361328125
85,-17597.767578125,-18741.826171875
86,-17727.5859375,-18484.025390625
87,-17839.935546875,-18414.025390625
88,-17776.310546875,-18415.955078125
89,-17754.25,-17898.38671875
90,-17454.890625,-15200.5322265625
91,-17706.232421875,-16987.75
92,-17773.859375,-18605.54296875
93,-18299.044921875,-18502.568359375
94,-18183.427734375,-18116.33203125
95,-18148.9609375,-19172.451171875
96,-18255.20703125,-17081.51953125
97,-18171.19140625,-18781.5234375
98,-18220.296875,-18907.8203125
99,-18230.314453125,-17495.77734375
100,-18288.884765625,-18778.0703125
101,-18242.134765625,-19278.62109375
102,-18624.0,-19220.630859375
103,-18403.916015625,-18225.77734375
104,-18285.671875,-16538.265625
105,-18101.0078125,-17608.16015625
106,-17843.9921875,-17505.033203125
107,-18141.76171875,-16431.748046875
108,-18386.806640625,-19225.505859375
109,-18419.640625,-18540.7109375
110,-18612.138671875,-19255.880859375
111,-18501.798828125,-17435.267578125
112,-18241.181640625,-18945.201171875
113,-18070.34765625,-17723.8671875
114,-17589.474609375,-18006.046875
115,-18332.564453125,-18923.306640625
116,-18551.458984375,-19465.734375
117,-18728.353515625,-16509.19921875
118,-18265.791015625,-17560.326171875
119,-18778.7421875,-19140.962890625
120,-18660.75,-18060.34765625
121,-18761.673828125,-18881.66796875
122,-18779.509765625,-19022.31640625
123,-18398.234375,-17575.16796875
124,-18361.576171875,-19171.552734375
125,-18530.798828125,-19058.431640625
126,-18497.53125,-18074.060546875
127,-18583.58203125,-18275.083984375
128,-18573.89453125,-18297.9375
129,-18510.21484375,-18440.67578125
130,-18293.13671875,-19351.837890625
131,-18172.798828125,-17514.892578125
132,-18177.70703125,-18070.01171875
133,-18057.0078125,-18280.71875
134,-18513.904296875,-18315.318359375
135,-18836.7109375,-19180.14453125
