epoch,cotBeta_mae_metric,loss,slim_rmse_metric,val_cotBeta_mae_metric,val_loss,val_slim_rmse_metric,val_x_mae_metric,val_y_mae_metric,x_mae_metric,y_mae_metric
0,0.334857702255249,2853.76513671875,0.43038469552993774,0.23365601897239685,1309.5321044921875,0.30054253339767456,0.2328645884990692,0.2577073276042938,0.3567211329936981,0.38852718472480774
1,0.12737223505973816,839.5322875976562,0.23474545776844025,0.10043662786483765,619.9395751953125,0.20635007321834564,0.1683104932308197,0.1883496195077896,0.19057631492614746,0.218134805560112
2,0.09768185019493103,582.63134765625,0.19643491506576538,0.09547393769025803,529.7899169921875,0.19075170159339905,0.15505456924438477,0.16648812592029572,0.1602853238582611,0.17558862268924713
3,0.09470073133707047,511.5379333496094,0.18396219611167908,0.09345213323831558,469.69171142578125,0.17955279350280762,0.1439201831817627,0.15361997485160828,0.14853297173976898,0.15985457599163055
4,0.09264679253101349,445.8927307128906,0.1715906411409378,0.09123081713914871,398.2798156738281,0.16517244279384613,0.1327296793460846,0.13647285103797913,0.13757441937923431,0.14536480605602264
5,0.08966512233018875,357.93206787109375,0.15338651835918427,0.08782356232404709,298.111328125,0.1425045281648636,0.11504869908094406,0.10648055374622345,0.12393856048583984,0.1223178580403328
6,0.08695753663778305,267.910888671875,0.1323637217283249,0.08523525297641754,236.8565216064453,0.1266181468963623,0.09943880140781403,0.08920111507177353,0.10610967129468918,0.09530503302812576
7,0.08406946063041687,226.78964233398438,0.12156905233860016,0.0822557806968689,211.11492919921875,0.11933008581399918,0.09166060388088226,0.08391169458627701,0.09474138915538788,0.08574328571557999
8,0.0813370943069458,206.30538940429688,0.11578776687383652,0.07966385781764984,195.6216583251953,0.11473406851291656,0.08715102821588516,0.08073709160089493,0.08864357322454453,0.0816052034497261
9,0.07898148149251938,192.63829040527344,0.11175692081451416,0.07743978500366211,184.28160095214844,0.11124583333730698,0.08394529670476913,0.07848440110683441,0.084659144282341,0.07889261096715927
10,0.07689114660024643,182.21981811523438,0.10857923328876495,0.0754498690366745,175.32789611816406,0.10840456932783127,0.0814567282795906,0.0768200159072876,0.08164310455322266,0.07694640755653381
11,0.07493381947278976,173.81703186035156,0.1059437021613121,0.07353077828884125,167.93251037597656,0.10599565505981445,0.0794929787516594,0.07551553100347519,0.07927573472261429,0.0754864439368248
12,0.0729849562048912,166.76226806640625,0.1036769449710846,0.07158120721578598,161.5609588623047,0.103873111307621,0.07791633903980255,0.07442953437566757,0.07741781324148178,0.07433756440877914
13,0.07094809412956238,160.5952911376953,0.10165218263864517,0.06952961534261703,155.8616943359375,0.10193641483783722,0.07663452625274658,0.07349156588315964,0.07595491409301758,0.07338123768568039
14,0.06876006722450256,155.0179443359375,0.09978434443473816,0.06731406599283218,150.6169891357422,0.10012071579694748,0.07558881491422653,0.0726555660367012,0.07480327785015106,0.07254844158887863
15,0.06640308350324631,149.8706512451172,0.0980275422334671,0.0649343952536583,145.71337890625,0.09839224815368652,0.07469666004180908,0.07189399749040604,0.0739000141620636,0.07180653512477875
16,0.06392406672239304,145.1134033203125,0.0963737741112709,0.06246150657534599,141.15269470214844,0.09675561636686325,0.07388235628604889,0.07119645923376083,0.0731925368309021,0.07113397121429443
17,0.06143920496106148,140.782958984375,0.09484170377254486,0.06006462499499321,137.00531005859375,0.09524254500865936,0.07312823086977005,0.07055036723613739,0.07261883467435837,0.070511594414711
18,0.05908616632223129,136.9095916748047,0.09344954788684845,0.05785099044442177,133.3077392578125,0.09387336671352386,0.07242342084646225,0.06994695961475372,0.07211310416460037,0.06992414593696594
19,0.05694826319813728,133.47811889648438,0.0921986997127533,0.05585995316505432,130.05479431152344,0.09265278279781342,0.07178548723459244,0.06938384473323822,0.07163184881210327,0.06936760246753693
20,0.05504785478115082,130.4413299560547,0.09107749164104462,0.05408637598156929,127.17890167236328,0.09156013280153275,0.07118433713912964,0.06885504722595215,0.07115889340639114,0.06884489953517914
21,0.05336019769310951,127.74943542480469,0.0900716781616211,0.05250419303774834,124.62666320800781,0.09057935327291489,0.07061433792114258,0.06836730986833572,0.0706968829035759,0.06835906207561493
22,0.05185805633664131,125.3472900390625,0.08916451781988144,0.05109472945332527,122.34469604492188,0.08969321101903915,0.07007817178964615,0.06792058050632477,0.07025190442800522,0.06790974736213684
23,0.05051840841770172,123.19341278076172,0.08834312111139297,0.049830611795186996,120.28854370117188,0.08888713270425797,0.0695706382393837,0.06751241534948349,0.06982925534248352,0.06749708205461502
24,0.049320317804813385,121.25299072265625,0.08759646862745285,0.04869592562317848,118.43182373046875,0.08815252035856247,0.06909944862127304,0.06713692098855972,0.06942999362945557,0.06711668521165848
25,0.0482456237077713,119.49333190917969,0.08691372722387314,0.04767540469765663,116.7530288696289,0.08748264610767365,0.06866749376058578,0.0667918473482132,0.06905081123113632,0.06676490604877472
26,0.047275591641664505,117.89034271240234,0.08628688007593155,0.046760883182287216,115.22301483154297,0.08686738461256027,0.06826356053352356,0.06647154688835144,0.06869197636842728,0.06643743813037872
27,0.04640281945466995,116.42743682861328,0.08571072667837143,0.04593532159924507,113.81851196289062,0.0862983986735344,0.06788080185651779,0.06617230921983719,0.06835630536079407,0.06613145768642426
28,0.045616213232278824,115.08601379394531,0.085178904235363,0.04518449306488037,112.53022003173828,0.08577294647693634,0.06752493232488632,0.06589125841856003,0.06804197281599045,0.06584393233060837
29,0.04490479454398155,113.84525299072266,0.08468393981456757,0.04450263828039169,111.34722900390625,0.08528745174407959,0.06719771772623062,0.06562639027833939,0.06774033606052399,0.06557132303714752
30,0.044258080422878265,112.69609069824219,0.08422282338142395,0.043878793716430664,110.2458267211914,0.08483276516199112,0.06688243895769119,0.06537462025880814,0.06745597720146179,0.06531255692243576
31,0.04366765543818474,111.62773895263672,0.08379187434911728,0.043305523693561554,109.22144317626953,0.08440779149532318,0.06658578664064407,0.06513559073209763,0.06718802452087402,0.06506632268428802
32,0.04312260448932648,110.62016296386719,0.08338351547718048,0.04278102517127991,108.27235412597656,0.08401202410459518,0.0663149431347847,0.06490931659936905,0.06692659854888916,0.06483108550310135
33,0.042617317289114,109.6761474609375,0.08299899846315384,0.04228995367884636,107.36922454833984,0.0836336612701416,0.06604626774787903,0.0646943673491478,0.06668242812156677,0.06460622698068619
34,0.042147669941186905,108.78804779052734,0.08263552188873291,0.04183129593729973,106.52265167236328,0.08327724039554596,0.06579925864934921,0.06448836624622345,0.0664530098438263,0.06439083814620972
35,0.0417034737765789,107.93524932861328,0.08228494971990585,0.0414007194340229,105.72592163085938,0.08294036239385605,0.06557273119688034,0.06429002434015274,0.06622353196144104,0.0641830787062645
36,0.04128457233309746,107.13848114013672,0.08195587992668152,0.04098796844482422,104.95255279541016,0.08261217176914215,0.06533817201852798,0.0641007348895073,0.06601834297180176,0.06398387998342514
37,0.040888357907533646,106.36835479736328,0.08163659274578094,0.04059833288192749,104.23590850830078,0.08230690658092499,0.06514311581850052,0.06391362100839615,0.06581036746501923,0.06379051506519318
38,0.04050862416625023,105.6339111328125,0.08133100718259811,0.04022418335080147,103.53370666503906,0.08200683444738388,0.06493058800697327,0.06373677402734756,0.06561298668384552,0.06360510736703873
39,0.0401514396071434,104.939697265625,0.08104096353054047,0.03986462578177452,102.8683853149414,0.08172141760587692,0.06474390625953674,0.06356091797351837,0.06543204933404922,0.06342370808124542
40,0.039805322885513306,104.25106048583984,0.08075234293937683,0.039523396641016006,102.2335205078125,0.08144812285900116,0.0645681694149971,0.06339039653539658,0.06523524969816208,0.06324703991413116
41,0.03947941213846207,103.62018585205078,0.08048675209283829,0.039191197603940964,101.60345458984375,0.08117599040269852,0.06437332183122635,0.06322744488716125,0.06507586687803268,0.06307853758335114
42,0.039164356887340546,102.98236846923828,0.08021751791238785,0.038876377046108246,101.02229309082031,0.08092407137155533,0.064230777323246,0.06305734068155289,0.06489311158657074,0.06290968507528305
43,0.038858938962221146,102.3879623413086,0.07996566593647003,0.0385732464492321,100.43186950683594,0.08066750317811966,0.06403864920139313,0.06290463358163834,0.06473395228385925,0.062753826379776
44,0.038572732359170914,101.8156967163086,0.0797223299741745,0.03828316554427147,99.88472747802734,0.08042873442173004,0.06389737874269485,0.06274186819791794,0.06458388268947601,0.06259457767009735
45,0.038287609815597534,101.23754119873047,0.07947595417499542,0.03800913691520691,99.35189819335938,0.08019556850194931,0.06374107301235199,0.06259109079837799,0.06440842151641846,0.06244413182139397
46,0.038026172667741776,100.72772979736328,0.07925750315189362,0.03774290904402733,98.82421112060547,0.0799637958407402,0.06357283890247345,0.0624447837471962,0.06428615748882294,0.062298379838466644
47,0.03776825591921806,100.18364715576172,0.07902419567108154,0.03749273344874382,98.34613037109375,0.0797530934214592,0.06345997005701065,0.06229083985090256,0.06411740183830261,0.062149278819561005
48,0.037524811923503876,99.69712829589844,0.07881457358598709,0.037250690162181854,97.84821319580078,0.07953314483165741,0.06328288465738297,0.06215763837099075,0.06398627907037735,0.06201466917991638
49,0.037299491465091705,99.22209167480469,0.07860928028821945,0.03702279552817345,97.39616394042969,0.07933247834444046,0.06316512078046799,0.06201079487800598,0.06385773420333862,0.06187330186367035
50,0.03707382455468178,98.73469543457031,0.07839828729629517,0.03680938482284546,96.95549774169922,0.07913634926080704,0.06303079426288605,0.061876557767391205,0.06369878351688385,0.06174115091562271
51,0.03687099739909172,98.31620788574219,0.07821609824895859,0.03660291060805321,96.51350402832031,0.0789390578866005,0.06287609785795212,0.06174864619970322,0.06359592825174332,0.06161445379257202
