epoch,cotAlpha_mae_full,cotBeta_mae_full,loss,mean_uncertainty_cotAlpha,mean_uncertainty_cotBeta,mean_uncertainty_x,mean_uncertainty_y,val_cotAlpha_mae_full,val_cotBeta_mae_full,val_loss,val_mean_uncertainty_cotAlpha,val_mean_uncertainty_cotBeta,val_mean_uncertainty_x,val_mean_uncertainty_y,val_x_mae_full,val_y_mae_full,x_mae_full,y_mae_full
0,0.6403799057006836,0.4013751447200775,921222184960.0,0.3263581693172455,0.5780266523361206,0.3085537552833557,0.36993998289108276,0.7075457572937012,0.40624475479125977,71957561344.0,0.4394882619380951,0.7475680708885193,0.44638991355895996,0.4889239966869354,0.5757214426994324,0.6276275515556335,0.5659418702125549,0.6175810694694519
1,0.7221333384513855,0.3982353210449219,26863304704.0,0.5007623434066772,0.7865306735038757,0.4458286464214325,0.5644339919090271,0.7311903834342957,0.40531668066978455,13532997632.0,0.515062153339386,0.8068587779998779,0.4499112665653229,0.6090737581253052,0.5710510015487671,0.6552857756614685,0.5731112360954285,0.6457366347312927
2,0.7441777586936951,0.4226876497268677,9325788160.0,0.5150679349899292,0.8214526772499084,0.4671168327331543,0.6384488940238953,0.7614398002624512,0.4627796709537506,4619996160.0,0.5540780425071716,0.8438515067100525,0.4339543581008911,0.679992139339447,0.5746145844459534,0.5976705551147461,0.5708211064338684,0.628961980342865
3,0.7729479670524597,0.457364022731781,2236475392.0,0.5531954765319824,0.8819986581802368,0.4359223246574402,0.6916322708129883,0.7759403586387634,0.46407103538513184,1269232000.0,0.5544975399971008,0.8925514817237854,0.4383685886859894,0.6956194043159485,0.576158344745636,0.5985687375068665,0.5748330950737,0.5991018414497375
4,0.7840401530265808,0.4502895772457123,1382167808.0,0.560266375541687,0.8644214272499084,0.582520604133606,0.6880637407302856,0.7860580086708069,0.4548136293888092,1501019008.0,0.5623407959938049,0.8575617671012878,0.6218163371086121,0.6868448257446289,0.5705517530441284,0.6055493354797363,0.5713165402412415,0.6044569611549377
5,0.7858018279075623,0.4481659531593323,1385356544.0,0.5617132782936096,0.8563385009765625,0.6209110021591187,0.6854785084724426,0.7860580086708069,0.4548136293888092,1501019008.0,0.5623407959938049,0.8575617671012878,0.6218163371086121,0.6868448257446289,0.5705517530441284,0.6055493354797363,0.5700079202651978,0.6057597994804382
6,0.7858018279075623,0.4481659531593323,1385356544.0,0.5617132782936096,0.8563385009765625,0.6209110021591187,0.6854785084724426,0.7860580086708069,0.4548136293888092,1501019008.0,0.5623407959938049,0.8575617671012878,0.6218163371086121,0.6868448257446289,0.5705517530441284,0.6055493354797363,0.5700079202651978,0.6057597994804382
7,0.7863442897796631,0.44797325134277344,1157997824.0,0.5609779357910156,0.861920177936554,0.6219856142997742,0.6865071654319763,0.7883197665214539,0.45414531230926514,761072576.0,0.5600971579551697,0.8726393580436707,0.6259897351264954,0.6902249455451965,0.5702518820762634,0.6057996153831482,0.5698870420455933,0.6058496236801147
8,0.7885817289352417,0.4475989043712616,803851264.0,0.560579240322113,0.8728315830230713,0.6251040101051331,0.6897534728050232,0.7891120910644531,0.4543023407459259,676657152.0,0.5614485144615173,0.8746054768562317,0.6259238123893738,0.6914036273956299,0.5703669786453247,0.605245053768158,0.5698370933532715,0.605962872505188
9,0.7890449166297913,0.4476430118083954,777746048.0,0.560794472694397,0.8737413883209229,0.625034749507904,0.6900280714035034,0.7895104289054871,0.45431268215179443,655487296.0,0.5614748597145081,0.8753468990325928,0.6258975267410278,0.6914122104644775,0.5704697370529175,0.605241060256958,0.5698609948158264,0.6054489612579346
