epoch,loss,val_loss
0,11292.8408203125,3774.813720703125
1,-1379.8455810546875,-5566.42626953125
2,-8438.53125,-9817.7158203125
3,-11523.5166015625,-11965.0732421875
4,-13345.2880859375,-13341.44921875
5,-14570.8828125,-14370.1748046875
6,-15526.119140625,-15251.8203125
7,-16391.00390625,-16068.7255859375
8,-17246.279296875,-16898.4921875
9,-18066.14453125,-17678.44921875
10,-18839.15234375,-18386.61328125
11,-19523.98828125,-18992.72265625
12,-20093.908203125,-19476.658203125
13,-20569.1484375,-19882.791015625
14,-20971.388671875,-20229.984375
15,-21321.974609375,-20530.94921875
16,-21631.255859375,-20790.232421875
17,-21907.4765625,-21017.775390625
18,-22161.146484375,-21232.783203125
19,-22399.01171875,-21437.0625
20,-22624.01171875,-21631.580078125
21,-22838.4921875,-21818.046875
22,-23043.18359375,-21996.8828125
23,-23237.654296875,-22167.41015625
24,-23420.880859375,-22328.298828125
25,-23591.775390625,-22478.3359375
26,-23749.654296875,-22616.865234375
27,-23894.521484375,-22744.13671875
28,-24027.09765625,-22861.046875
29,-24148.53125,-22968.853515625
30,-24260.17578125,-23068.828125
31,-24363.30078125,-23162.052734375
32,-24459.048828125,-23249.470703125
33,-24548.390625,-23331.75
34,-24632.134765625,-23409.466796875
35,-24710.98046875,-23483.091796875
36,-24785.5234375,-23553.064453125
37,-24856.3046875,-23619.80078125
38,-24923.771484375,-23683.71484375
39,-24988.341796875,-23745.21875
40,-25050.376953125,-23804.7265625
41,-25110.189453125,-23862.607421875
42,-25168.048828125,-23919.154296875
43,-25224.205078125,-23974.62109375
44,-25278.86328125,-24029.197265625
45,-25332.1875,-24082.958984375
46,-25384.33984375,-24135.970703125
47,-25435.44140625,-24188.220703125
48,-25485.61328125,-24239.6953125
49,-25534.92578125,-24290.3671875
50,-25583.470703125,-24340.234375
51,-25631.2734375,-24389.30078125
52,-25678.44921875,-24437.556640625
53,-25724.986328125,-24485.037109375
54,-25770.943359375,-24531.7265625
55,-25816.345703125,-24577.615234375
56,-25861.193359375,-24622.783203125
57,-25905.5234375,-24667.162109375
58,-25949.337890625,-24710.82421875
59,-25992.640625,-24753.75390625
60,-26035.4453125,-24795.931640625
61,-26077.740234375,-24837.419921875
62,-26119.5546875,-24878.1640625
63,-26160.85546875,-24918.244140625
64,-26201.685546875,-24957.611328125
65,-26242.015625,-24996.341796875
66,-26281.865234375,-25034.4375
67,-26321.24609375,-25071.94921875
68,-26360.15234375,-25108.890625
69,-26398.58203125,-25145.37109375
70,-26436.5859375,-25181.41015625
71,-26474.14453125,-25217.107421875
72,-26511.275390625,-25252.521484375
73,-26547.994140625,-25287.744140625
74,-26584.31640625,-25322.822265625
75,-26620.25390625,-25357.845703125
76,-26655.845703125,-25392.810546875
77,-26691.064453125,-25427.77734375
78,-26725.962890625,-25462.744140625
79,-26760.560546875,-25497.708984375
80,-26794.86328125,-25532.65234375
81,-26828.904296875,-25567.54296875
82,-26862.6875,-25602.392578125
83,-26896.234375,-25637.17578125
84,-26929.56640625,-25671.841796875
85,-26962.716796875,-25706.439453125
86,-26995.673828125,-25740.900390625
87,-27028.490234375,-25775.28515625
88,-27061.146484375,-25809.55078125
89,-27093.6796875,-25843.7109375
90,-27126.10546875,-25877.791015625
91,-27158.423828125,-25911.751953125
92,-27190.66796875,-25945.623046875
93,-27222.828125,-25979.41796875
94,-27254.916015625,-26013.1171875
95,-27286.96875,-26046.73046875
96,-27318.9765625,-26080.27734375
97,-27350.9453125,-26113.763671875
98,-27382.890625,-26147.1640625
99,-27414.82421875,-26180.509765625
100,-27446.72265625,-26213.791015625
101,-27478.626953125,-26247.0234375
102,-27510.50390625,-26280.177734375
103,-27542.3828125,-26313.306640625
104,-27574.25390625,-26346.35546875
105,-27606.08984375,-26379.34765625
106,-27637.923828125,-26412.28125
107,-27669.724609375,-26445.154296875
108,-27701.49609375,-26477.9609375
109,-27733.224609375,-26510.6796875
110,-27764.904296875,-26543.333984375
111,-27796.541015625,-26575.90234375
112,-27828.076171875,-26608.34375
113,-27859.57421875,-26640.70703125
114,-27890.943359375,-26672.92578125
115,-27922.234375,-26705.037109375
116,-27953.384765625,-26736.9765625
117,-27984.4296875,-26768.798828125
118,-28015.3046875,-26800.439453125
119,-28046.060546875,-26831.91796875
120,-28076.625,-26863.197265625
121,-28107.01171875,-26894.291015625
122,-28137.224609375,-26925.18359375
123,-28167.236328125,-26955.857421875
124,-28197.04296875,-26986.296875
125,-28226.638671875,-27016.509765625
126,-28256.021484375,-27046.484375
127,-28285.162109375,-27076.19140625
128,-28314.107421875,-27105.63671875
129,-28342.7734375,-27134.81640625
130,-28371.248046875,-27163.703125
131,-28399.46875,-27192.291015625
132,-28427.494140625,-27220.544921875
133,-28455.32421875,-27248.4296875
134,-28482.955078125,-27275.888671875
135,-28510.521484375,-27302.783203125
136,-28538.083984375,-27328.8671875
137,-28565.96484375,-27353.78125
138,-28595.05078125,-27378.443359375
139,-28628.513671875,-27393.353515625
140,-28602.38671875,-27384.50390625
141,-28662.94140625,-27426.17578125
142,-28689.078125,-27454.93359375
143,-28714.1484375,-27484.771484375
144,-28739.98046875,-27515.27734375
145,-28763.5546875,-27545.00390625
146,-28787.29296875,-27573.955078125
147,-28812.64453125,-27600.111328125
148,-28835.66796875,-27622.166015625
149,-28856.78125,-27646.119140625
150,-28883.095703125,-27668.4296875
151,-28906.943359375,-27686.2421875
152,-28928.658203125,-27706.9140625
153,-28952.5078125,-27727.81640625
154,-28975.103515625,-27747.8125
155,-28997.189453125,-27768.630859375
156,-29019.458984375,-27789.34765625
157,-29041.3359375,-27809.8828125
158,-29063.068359375,-27830.482421875
159,-29084.671875,-27850.8828125
160,-29106.033203125,-27871.267578125
161,-29127.287109375,-27891.6015625
162,-29148.3125,-27911.876953125
163,-29169.201171875,-27932.265625
164,-29189.9921875,-27952.537109375
