epoch,k,level_0,level_1,level_2,level_3,bin_center_0,bin_center_1,bin_center_2,bin_center_3
0,1.3942322,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.9845013618469238,-0.37093478441238403,0.3707919120788574,1.0428638458251953
1,1.8324716,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.9298382997512817,-0.42668431997299194,0.42841637134552,1.0267373323440552
2,2.1308384,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.8356449604034424,-0.38633593916893005,0.6472461223602295,1.1528878211975098
3,2.4072864,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.7914033532142639,-0.39095765352249146,0.7193713784217834,1.1369006633758545
4,2.6531363,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.7609549164772034,-0.39873918890953064,0.7520197033882141,1.1063542366027832
5,2.861688,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.7367302179336548,-0.4076884686946869,0.7689875364303589,1.0745325088500977
6,3.0486467,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.7149947881698608,-0.41522207856178284,0.7816325426101685,1.0482426881790161
7,3.2286906,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6916308403015137,-0.41855546832084656,0.7998517751693726,1.0341267585754395
8,3.378014,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6717851758003235,-0.4243693947792053,0.8111061453819275,1.0184893608093262
9,3.5075753,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6555765271186829,-0.4319532513618469,0.817026674747467,1.0027110576629639
10,3.6385155,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6418114900588989,-0.4397353231906891,0.8207451105117798,0.988533616065979
11,3.7721646,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6308278441429138,-0.4485987424850464,0.8203096985816956,0.972504198551178
12,3.902366,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6231745481491089,-0.4587017893791199,0.8143918514251709,0.953133225440979
13,4.024326,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6184666752815247,-0.469471275806427,0.8040326237678528,0.9313090443611145
14,4.1447372,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.6127605438232422,-0.476482093334198,0.7994029521942139,0.9175318479537964
15,4.2620006,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.604238748550415,-0.47883719205856323,0.8037973642349243,0.914417028427124
16,4.3765655,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5945245623588562,-0.4792417585849762,0.8121225237846375,0.9159421324729919
17,4.472721,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.586797833442688,-0.4810870587825775,0.8165023326873779,0.914010763168335
18,4.5628996,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5797132849693298,-0.48288634419441223,0.8204790949821472,0.9122486710548401
19,4.6506577,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5733097791671753,-0.48474210500717163,0.8239644765853882,0.9104799032211304
20,4.737499,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5675719380378723,-0.48668304085731506,0.8269335627555847,0.9086105227470398
21,4.824042,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5623511672019958,-0.48858678340911865,0.8296461701393127,0.9068552851676941
22,4.9110627,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5575714111328125,-0.4904240369796753,0.832195520401001,0.9052568674087524
23,4.9994717,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5531771779060364,-0.4921834170818329,0.8346580862998962,0.9038421511650085
24,5.1056643,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5479692816734314,-0.49281927943229675,0.8400123715400696,0.9054706692695618
25,5.2093644,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5445215106010437,-0.49487462639808655,0.8418908715248108,0.9037181735038757
26,5.3135443,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5417089462280273,-0.49713900685310364,0.8429062366485596,0.9012671709060669
27,5.4178305,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5393881797790527,-0.49946874380111694,0.8433411121368408,0.8984012603759766
28,5.5208035,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5374578833580017,-0.5017668604850769,0.8433507084846497,0.8952820897102356
29,5.621766,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5358412861824036,-0.5039762854576111,0.8430559039115906,0.8920292258262634
30,5.7207866,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5344853401184082,-0.5060678720474243,0.84255051612854,0.8887300491333008
31,5.8179164,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5334098935127258,-0.5080890655517578,0.841772735118866,0.8853132128715515
32,5.9122777,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5327355265617371,-0.510189414024353,0.8403891921043396,0.8814293742179871
33,6.006556,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5320320725440979,-0.5119619369506836,0.8394069075584412,0.8780881762504578
34,6.10074,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.531537652015686,-0.5136798024177551,0.8382734060287476,0.87471604347229
35,6.1793375,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5320859551429749,-0.5161705017089844,0.834677517414093,0.8690236210823059
36,6.255438,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5318638682365417,-0.5176557302474976,0.8329594731330872,0.8653703331947327
37,6.333649,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.531545877456665,-0.5188674926757812,0.8317575454711914,0.8623332977294922
38,6.41348,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5313113927841187,-0.5200042724609375,0.8306440114974976,0.8594728708267212
39,6.4947133,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.531164824962616,-0.5210863351821899,0.8295858502388,0.8567520976066589
40,6.575046,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.531217634677887,-0.5222378969192505,0.8282440304756165,0.8538251519203186
41,6.655248,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-0.5312232375144958,-0.523223876953125,0.8271690011024475,0.8512457013130188
