epoch,cotBeta_mae_metric,loss,slim_rmse_metric,val_cotBeta_mae_metric,val_loss,val_slim_rmse_metric,val_x_mae_metric,val_y_mae_metric,x_mae_metric,y_mae_metric
0,0.2762105166912079,2811.3984375,0.4262682795524597,0.1861402690410614,1353.998291015625,0.3061984181404114,0.24391818046569824,0.285026878118515,0.3783261179924011,0.38528743386268616
1,0.1474754810333252,999.9786376953125,0.25740382075309753,0.12932543456554413,786.189453125,0.23319880664348602,0.173060342669487,0.22251836955547333,0.1913105547428131,0.24747376143932343
2,0.11898662149906158,728.9308471679688,0.22026170790195465,0.11130402237176895,654.0548706054688,0.2126757651567459,0.1625635325908661,0.19890287518501282,0.16507801413536072,0.20919275283813477
3,0.10876839607954025,642.5953369140625,0.20681433379650116,0.10555963218212128,602.5134887695312,0.20412509143352509,0.15646600723266602,0.18916113674640656,0.15738984942436218,0.19335143268108368
4,0.10272928327322006,598.2156372070312,0.19951480627059937,0.1010405644774437,562.882080078125,0.19734704494476318,0.1535932719707489,0.1812725067138672,0.15298552811145782,0.18592765927314758
5,0.09894907474517822,551.6591186523438,0.19154448807239532,0.09563320875167847,512.0701904296875,0.18817894160747528,0.15481410920619965,0.16427956521511078,0.1538281887769699,0.1715802401304245
6,0.0928557887673378,500.5892639160156,0.18241232633590698,0.0911756381392479,470.75128173828125,0.18039247393608093,0.15070746839046478,0.15501834452152252,0.151753768324852,0.1585274040699005
7,0.09011359512805939,465.83837890625,0.17591649293899536,0.08933770656585693,437.1625061035156,0.17371170222759247,0.14726689457893372,0.1459549218416214,0.14828282594680786,0.15030795335769653
8,0.08863461762666702,437.862060546875,0.17054712772369385,0.08819975703954697,420.7554931640625,0.17031286656856537,0.14627371728420258,0.1419997364282608,0.14574728906154633,0.14315924048423767
9,0.08789703994989395,418.23406982421875,0.16660496592521667,0.08635014295578003,388.7911376953125,0.16362294554710388,0.14112423360347748,0.13366277515888214,0.14390018582344055,0.13793085515499115
10,0.08687844127416611,391.0746765136719,0.1610771119594574,0.08687643706798553,366.6905212402344,0.15884177386760712,0.13491003215312958,0.13000772893428802,0.13858920335769653,0.1322852373123169
11,0.08663421124219894,363.8215637207031,0.15532125532627106,0.0861159935593605,344.48858642578125,0.15393789112567902,0.1300603300333023,0.12505564093589783,0.13211974501609802,0.1268225461244583
12,0.0855700746178627,339.0256042480469,0.14988794922828674,0.08528753370046616,321.3616638183594,0.14859509468078613,0.12466395646333694,0.11977627128362656,0.12690433859825134,0.12112271785736084
13,0.08475421369075775,319.6666259765625,0.14550483226776123,0.08483840525150299,306.15167236328125,0.14500251412391663,0.12052071839570999,0.11657609045505524,0.12184561789035797,0.1171196848154068
14,0.08462739735841751,305.222412109375,0.1421419084072113,0.08376668393611908,289.06927490234375,0.14089147746562958,0.11760105192661285,0.11096376180648804,0.11812365800142288,0.11378853768110275
15,0.08255860954523087,288.4779052734375,0.1381436586380005,0.08140034228563309,273.4960632324219,0.1369602233171463,0.11362410336732864,0.10819227248430252,0.11506154388189316,0.1095162183046341
16,0.08675124496221542,288.1094970703125,0.13748429715633392,0.08101008832454681,264.7060546875,0.13469605147838593,0.11150204390287399,0.10513026267290115,0.1125911995768547,0.10792884975671768
17,0.08560728281736374,277.7051696777344,0.1352197378873825,0.08179447799921036,258.757080078125,0.13317465782165527,0.108489990234375,0.10443723201751709,0.11038147658109665,0.10633291304111481
18,0.08595979958772659,271.9444885253906,0.1339806169271469,0.08930376917123795,275.0505065917969,0.1373632699251175,0.10991755872964859,0.11107282340526581,0.10833388566970825,0.10599561035633087
19,0.08187197148799896,261.3097229003906,0.13139767944812775,0.08102387189865112,251.2309112548828,0.13119018077850342,0.10632659494876862,0.10281829535961151,0.10709980875253677,0.10412245988845825
20,0.0806954875588417,254.01174926757812,0.1295291781425476,0.08024498075246811,245.11729431152344,0.12958084046840668,0.1045486107468605,0.10149012506008148,0.10535351932048798,0.10227851569652557
21,0.08041463047266006,270.7966003417969,0.1325041949748993,0.07878994196653366,240.9263458251953,0.12839056551456451,0.10415294021368027,0.10112155973911285,0.10565507411956787,0.10960175842046738
22,0.07951978594064713,264.25048828125,0.1315193623304367,0.07794539630413055,244.24130249023438,0.12929312884807587,0.1065138503909111,0.10096097737550735,0.10729455947875977,0.10698232054710388
23,0.07935039699077606,258.1890563964844,0.130319744348526,0.07771936804056168,238.403076171875,0.12770415842533112,0.10418631881475449,0.1001310795545578,0.106938436627388,0.1050964742898941
24,0.07783643901348114,251.0936279296875,0.12869533896446228,0.07660789042711258,235.76467895507812,0.1269681453704834,0.10254213958978653,0.10142690688371658,0.1061440110206604,0.1032155230641365
25,0.07646777480840683,241.988525390625,0.12637877464294434,0.07626881450414658,235.44268798828125,0.12690947949886322,0.10291767865419388,0.10165070742368698,0.10341048240661621,0.10140231996774673
