epoch,cotBeta_mae_metric,loss,slim_rmse_metric,val_cotBeta_mae_metric,val_loss,val_slim_rmse_metric,val_x_mae_metric,val_y_mae_metric,x_mae_metric,y_mae_metric
0,0.30319535732269287,2904.974365234375,0.43402624130249023,0.2058972269296646,1223.498046875,0.29076647758483887,0.25820019841194153,0.23069889843463898,0.4182588756084442,0.3677881956100464
1,0.1351984590291977,717.0064697265625,0.21663108468055725,0.1090933308005333,533.245849609375,0.19161057472229004,0.14110852777957916,0.1715373545885086,0.16806542873382568,0.18954402208328247
2,0.10516571998596191,518.2359008789062,0.18534211814403534,0.10140436887741089,483.9436950683594,0.1825217306613922,0.1323324292898178,0.16250215470790863,0.1352406144142151,0.16603818535804749
3,0.09992453455924988,474.2881774902344,0.17723411321640015,0.09703842550516129,434.5627136230469,0.172880619764328,0.12622304260730743,0.15056321024894714,0.1288297176361084,0.1570759266614914
4,0.09521166980266571,402.2657165527344,0.16301660239696503,0.09267230331897736,348.1792297363281,0.15455318987369537,0.11711136251688004,0.12291466444730759,0.12133631855249405,0.137223020195961
5,0.09192956984043121,320.1866455078125,0.1452263444662094,0.09059437364339828,283.1213684082031,0.13912656903266907,0.10675274580717087,0.10088987648487091,0.11161535978317261,0.11027976870536804
6,0.08946084976196289,268.1943664550781,0.1327417641878128,0.08763039112091064,244.7113800048828,0.12912246584892273,0.09665447473526001,0.09132041037082672,0.10139743983745575,0.09511838108301163
7,0.08604196459054947,235.35496520996094,0.12419202923774719,0.08419951051473618,218.8090362548828,0.12191151827573776,0.0883314236998558,0.08607111871242523,0.0921478196978569,0.08813178539276123
8,0.08286336064338684,213.56419372558594,0.11817225813865662,0.08139252662658691,202.11180114746094,0.11702755838632584,0.0829152911901474,0.08271919935941696,0.08527970314025879,0.08393954485654831
9,0.08040405809879303,199.8311004638672,0.11421038955450058,0.0792737752199173,191.5806884765625,0.11383974552154541,0.0800543799996376,0.08040912449359894,0.08128158748149872,0.08117540180683136
10,0.07855355739593506,190.91905212402344,0.11156032979488373,0.07767664641141891,184.404052734375,0.11161645501852036,0.0784563422203064,0.07866714894771576,0.07920040190219879,0.07919267565011978
11,0.07714260369539261,184.55613708496094,0.10962671786546707,0.07646338641643524,179.01051330566406,0.10991750657558441,0.07734765857458115,0.07726683467626572,0.07792608439922333,0.07764315605163574
12,0.07603784650564194,179.6015167236328,0.10809583216905594,0.07549167424440384,174.6601104736328,0.10852895677089691,0.0764629915356636,0.07609478384256363,0.07696139812469482,0.07636695355176926
13,0.0751333013176918,175.51913452148438,0.10681699216365814,0.07467364519834518,170.9984893798828,0.10734634101390839,0.0757061094045639,0.07509993016719818,0.0761488676071167,0.07528828829526901
14,0.07435639202594757,172.03866577148438,0.10571355372667313,0.07395787537097931,167.8296356201172,0.10631174594163895,0.07504094392061234,0.07425378262996674,0.0754372850060463,0.07437162101268768
15,0.07365743070840836,168.995361328125,0.10473859310150146,0.07329932600259781,165.0223388671875,0.10538601875305176,0.07444501668214798,0.07352526485919952,0.0748041421175003,0.0735885426402092
16,0.07300510257482529,166.27102661132812,0.10385767370462418,0.07267282903194427,162.4767608642578,0.1045386865735054,0.07390134036540985,0.07288908213376999,0.07423318922519684,0.07290880382061005
17,0.0723762959241867,163.77310180664062,0.10304318368434906,0.07205896824598312,160.1147918701172,0.10374539345502853,0.07339607179164886,0.07232244312763214,0.0737113431096077,0.07230417430400848
18,0.07175479829311371,161.43101501464844,0.10227344185113907,0.0714472085237503,157.87721252441406,0.1029873639345169,0.07292034476995468,0.0718039721250534,0.0732269361615181,0.07175399363040924
