epoch,k,level_0,level_1,level_2,level_3,bin_center_0,bin_center_1,bin_center_2,bin_center_3
0,1.1903211,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.0385106801986694,-0.3828837275505066,0.3702894449234009,0.9552255868911743
1,1.2996144,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.04847252368927,-0.40553802251815796,0.40146005153656006,0.9560984373092651
2,1.4319309,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.0616073608398438,-0.4421323537826538,0.4322645664215088,0.9486818313598633
3,1.5164617,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.07863450050354,-0.47795331478118896,0.40023505687713623,0.8894635438919067
4,1.6005421,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.1207329034805298,-0.549466609954834,0.3116220235824585,0.7685410976409912
5,1.7416382,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.1576564311981201,-0.616795539855957,0.2569664716720581,0.6784511804580688
6,1.9461491,-1.0,-0.3333333134651184,0.3333333730697632,1.0,-1.1975802183151245,-0.6876256465911865,0.19901835918426514,0.5857874155044556
7,nan,-1.0,-0.3333333134651184,0.3333333730697632,1.0,nan,nan,nan,nan
