epoch,cotBeta_mae_metric,loss,slim_rmse_metric,val_cotBeta_mae_metric,val_loss,val_slim_rmse_metric,val_x_mae_metric,val_y_mae_metric,x_mae_metric,y_mae_metric
0,0.2883424460887909,3261.408935546875,0.46278029680252075,0.21319980919361115,2490.482666015625,0.4090442359447479,0.34498170018196106,0.4002004861831665,0.4005579352378845,0.44512394070625305
1,0.21338841319084167,2499.899658203125,0.4074007272720337,0.19889380037784576,2318.81396484375,0.39465805888175964,0.3308083713054657,0.38350334763526917,0.3424041271209717,0.39820432662963867
2,0.20085971057415009,2345.69384765625,0.3946210443973541,0.18376444280147552,2153.765380859375,0.3803204298019409,0.3220115005970001,0.36127838492393494,0.33097168803215027,0.38152411580085754
3,0.1600886583328247,1979.8004150390625,0.36310404539108276,0.13761939108371735,1802.944580078125,0.34788358211517334,0.3099442720413208,0.3172512352466583,0.31412526965141296,0.33856844902038574
4,0.12501145899295807,1735.4471435546875,0.3400099575519562,0.11694035679101944,1650.795654296875,0.33284473419189453,0.3016316592693329,0.29820480942726135,0.3065193295478821,0.3073269724845886
5,0.11159083992242813,1604.0445556640625,0.32684317231178284,0.10855834931135178,1533.144287109375,0.32072046399116516,0.28858786821365356,0.28639623522758484,0.2951264977455139,0.29211029410362244
6,0.10692676901817322,1510.77490234375,0.31717008352279663,0.1062166690826416,1459.2169189453125,0.3128504455089569,0.27700135111808777,0.2811959683895111,0.2829022705554962,0.28409501910209656
7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
